Aristarchus  (8568,13946)  (8453,14060)  (8453,13945)  (8682,14061)  (8568,13831)  (8683,13831)  (8683,13946)  (8451,13830)  (8338,14165)  (8338,14050)  (8797,14061)  (8797,14176)  (8566,13716)  (8681,13716)  (8796,13716)  (8798,13831)  (8798,13946)  (8336,13935)  (8336,13820)  (8451,13715)  (8326,13705)  (8911,13691)  (8223,14182)  (8223,14067)  (8912,14061)  (8913,13806)  (8913,13921)  (8221,13952)  (8221,13837)  (8211,13722)  | overflowToLeft=false
Colony 30 1  (2853,2486)  (2738,2600)  (2738,2485)  (2967,2601)  (2853,2371)  (2968,2371)  (2968,2486)  (2736,2370)  (2623,2643)  (2623,2528)  (3082,2601)  (2851,2256)  (2966,2256)  (3081,2256)  (3083,2371)  (3083,2486)  (2621,2413)  (2621,2298)  (2736,2255)  | overflowToLeft=false
Colony 30 2  (3479,2404)  (3364,2518)  (3364,2403)  (3593,2519)  (3479,2289)  (3594,2289)  (3594,2404)  (3362,2288)  (3370,2633)  (3255,2633)  (3249,2518)  (3249,2403)  (3708,2519)  (3540,2174)  (3655,2174)  (3709,2357)  (3247,2288)  | overflowToLeft=false
Balkans  (17997,1207)  (17882,1219)  (18112,1115)  (18112,1230)  | overflowToLeft=false
Hubei  (21814,1790)  (21699,1896)  (21699,1781)  (21928,1905)  (21814,1675)  (21929,1695)  (21689,1666)  (21806,1560)  | overflowToLeft=false
Byrgius  (8660,15260)  (8545,15374)  (8545,15259)  (8774,15375)  (8660,15145)  (8775,15145)  (8775,15260)  (8543,15144)  (8659,15489)  (8544,15489)  (8430,15374)  (8430,15259)  (8429,15490)  (8672,15030)  (8787,15030)  (8890,15145)  (8890,15260)  (8428,15144)  (8902,15025)  (9005,15169)  (9005,15284)  | overflowToLeft=false
Mahal 2  (345,19528)  (230,19642)  (230,19527)  (459,19643)  (345,19413)  (460,19413)  (460,19528)  (228,19412)  (344,19757)  (115,19609)  (343,19298)  (575,19415)  (575,19530)  | overflowToLeft=false
Central Africa  (18208,3275)  (18093,3364)  (18093,3249)  (18267,3390)  (18208,3160)  (18323,3160)  (18323,3275)  (18438,3256)  | overflowToLeft=false
Mahal 1  (751,19051)  (636,19165)  (636,19050)  (865,19166)  (751,18936)  (866,18936)  (866,19051)  (634,18935)  (750,19280)  (521,19151)  (749,18821)  (981,18934)  (981,19049)  (519,19036)  | overflowToLeft=false
Space Zone 1  (1742,171)  (1627,285)  (1627,170)  (1856,286)  (1742,56)  (1857,56)  (1857,171)  (1625,55)  (1512,344)  (1512,229)  (1971,286)  (1972,0)  (1972,115)  (1510,114)  (1397,355)  (1397,240)  (2086,230)  (2087,0)  (2087,115)  (2087,345)  (1395,125)  (1395,10)  (2098,460)  (2145,575)  (1282,367)  (1282,252)  (2201,230)  (2202,0)  (2202,115)  (2202,345)  (1280,137)  (1280,22)  (2213,460)  (1167,378)  (1167,263)  (2316,230)  (2317,0)  (2317,115)  (2317,345)  (1165,148)  (1165,33)  (2328,460)  (1052,389)  (1052,274)  (2431,230)  (2432,0)  (2432,115)  (2432,345)  (1050,159)  (1050,44)  (937,400)  (937,285)  | overflowToLeft=false
Space Zone 5  (2803,1082)  (2688,1176)  (2688,1061)  (2803,967)  (2918,967)  (2918,1082)  (2666,946)  (2950,1197)  (2573,1188)  (2573,1073)  (3032,1312)  (3033,917)  (3033,1032)  (2551,958)  (2551,843)  (2666,831)  (3065,1147)  (2458,1199)  (2458,1084)  (3147,1262)  (3147,1377)  (3032,1427)  (3148,906)  (3148,1021)  (2448,728)  (2436,969)  (2436,854)  (2563,716)  (3180,1136)  (3212,1492)  (2343,1209)  (2343,1094)  (3262,1251)  (3262,1366)  (3097,1542)  (3263,895)  (3263,1010)  (2333,739)  (2423,613)  (2321,979)  (2321,864)  (2538,601)  (3295,1125)  (3327,1481)  (3273,1607)  (2228,1221)  (2228,1106)  (3377,1240)  (3377,1355)  (3158,1657)  (3043,1657)  | overflowToLeft=false
Space Zone 4  (941,1236)  (826,1350)  (826,1235)  (1055,1351)  (941,1121)  (1056,1121)  (1056,1236)  (824,1120)  (940,1465)  (825,1465)  (711,1350)  (711,1235)  (1170,1351)  (1170,1466)  (1055,1466)  (710,1466)  (1171,1086)  (1171,1201)  (709,1120)  (709,1005)  (940,1580)  (825,1580)  (596,1351)  (596,1236)  (1285,1316)  (1285,1431)  (1211,1581)  (1096,1581)  (710,1581)  (595,1469)  (1286,1074)  (1286,1189)  (594,1121)  (594,1006)  (594,891)  (709,890)  (981,1695)  (866,1695)  (1400,1304)  (1096,1696)  (751,1696)  (1401,1063)  (1401,1178)  (981,1810)  (866,1810)  (751,1811)  (1516,1052)  (1516,1167)  (867,1925)  (1631,1040)  (1631,1155)  | overflowToLeft=false
Space Zone 3  (4790,78)  (4675,192)  (4675,77)  (4904,193)  (4905,0)  (4789,307)  (4674,307)  (4560,192)  (4560,77)  (5019,115)  (5019,230)  (4904,308)  (5056,345)  (4445,218)  (4445,103)  (4941,423)  (4826,423)  (5163,460)  (4330,152)  (4330,37)  (5048,538)  (5185,575)  (4215,86)  (4100,19)  | overflowToLeft=false
